t_sec,intensity,x,y,yaw
1762413344.406,2.695594,-5.9999,0.0000,0.0000
1762413344.606,2.695594,-5.9999,0.0000,0.0000
1762413344.806,2.695594,-5.9999,0.0000,0.0000
1762413345.006,2.695594,-5.9999,0.0000,0.0000
1762413345.206,2.695593,-5.9999,0.0000,0.0000
1762413345.406,2.695592,-5.9999,0.0000,0.0000
1762413345.606,2.695594,-5.9999,0.0000,0.0000
1762413345.806,2.695594,-5.9999,0.0000,0.0000
1762413346.006,2.695593,-5.9999,0.0000,0.0000
1762413346.206,2.695592,-5.9999,0.0000,0.0000
1762413346.406,2.695594,-5.9999,0.0000,0.0000
1762413346.606,2.695593,-5.9999,0.0000,0.0000
1762413346.806,2.695592,-5.9999,0.0000,0.0000
1762413347.006,2.695591,-5.9999,0.0000,0.0000
1762413347.206,2.695592,-5.9999,0.0000,0.0000
1762413347.406,2.695593,-5.9999,0.0000,0.0000
1762413347.606,2.695593,-5.9999,0.0000,0.0000
1762413347.806,2.695591,-5.9999,0.0000,0.0000
1762413348.006,2.695591,-5.9999,0.0000,0.0000
1762413348.206,2.695593,-6.0000,0.0000,0.0000
1762413348.405,2.695593,-6.0000,0.0000,0.0000
1762413348.606,2.695590,-6.0000,0.0000,0.0000
1762413348.806,2.695592,-6.0000,0.0000,0.0000
1762413349.006,2.695593,-6.0000,0.0000,0.0000
1762413349.206,2.695591,-6.0000,0.0000,0.0000
1762413349.406,2.695590,-6.0000,0.0000,0.0000
1762413349.606,2.695590,-6.0000,0.0000,0.0000
1762413349.806,2.695591,-6.0000,0.0000,0.0000
1762413350.006,2.695591,-6.0000,0.0000,0.0000
1762413350.206,2.695591,-6.0000,0.0000,0.0000
1762413350.406,2.695590,-6.0000,0.0000,0.0000
1762413350.606,2.695590,-6.0000,0.0000,0.0000
1762413350.806,2.695592,-6.0000,0.0000,0.0000
1762413351.006,2.695592,-6.0000,0.0000,0.0000
1762413351.206,2.695589,-6.0000,0.0000,0.0000
1762413351.406,2.704352,-5.9911,0.0000,0.0000
1762413351.606,2.717464,-5.9761,0.0000,0.0000
1762413351.806,2.733421,-5.9583,0.0000,0.0000
1762413352.005,2.748590,-5.9413,0.0000,0.0000
1762413352.206,2.761913,-5.9288,0.0000,0.0000
1762413352.406,2.778433,-5.9113,0.0000,0.0000
1762413352.606,2.794427,-5.8936,0.0000,0.0000
1762413352.806,2.808171,-5.8784,0.0000,0.0000
