t_sec,intensity,x,y,yaw
1757318853.127,16.368504,-5.9999,0.0000,0.0000
1757318853.327,16.368510,-5.9999,0.0000,0.0000
1757318853.527,16.368512,-5.9999,0.0000,0.0000
1757318853.727,16.368513,-5.9999,0.0000,0.0000
1757318853.927,16.368505,-5.9999,0.0000,0.0000
1757318854.127,16.368509,-5.9999,0.0000,0.0000
1757318854.327,16.368501,-5.9999,0.0000,0.0000
1757318854.527,16.368508,-5.9999,0.0000,0.0000
1757318854.727,16.368509,-5.9999,0.0000,0.0000
1757318854.927,16.368512,-5.9999,0.0000,0.0000
1757318855.127,16.368507,-5.9999,0.0000,0.0000
1757318855.327,16.368507,-5.9999,0.0000,0.0000
1757318855.527,16.368502,-5.9999,0.0000,0.0000
1757318855.727,16.368511,-5.9999,0.0000,0.0000
1757318855.927,16.368507,-5.9999,0.0000,0.0000
1757318856.127,16.368510,-5.9999,0.0000,0.0000
1757318856.327,16.368499,-5.9999,0.0000,0.0000
1757318856.527,16.368507,-5.9999,0.0000,0.0000
1757318856.727,16.368507,-5.9999,0.0000,0.0000
1757318856.927,16.368508,-5.9999,0.0000,0.0000
1757318857.127,16.368502,-5.9999,0.0000,0.0000
1757318857.327,16.368503,-5.9999,0.0000,0.0000
1757318857.527,16.368501,-5.9999,0.0000,0.0000
1757318857.727,16.368507,-5.9999,0.0000,0.0000
1757318857.927,16.368507,-5.9999,0.0000,0.0000
1757318858.127,16.368499,-5.9999,0.0000,0.0000
1757318858.327,16.368499,-5.9999,0.0000,0.0000
1757318858.527,16.373937,-5.9988,0.0000,0.0000
1757318858.727,16.421351,-5.9813,0.0000,0.0000
1757318858.927,16.465751,-5.9646,0.0000,0.0000
1757318859.127,16.520314,-5.9444,0.0000,0.0000
1757318859.327,16.568317,-5.9296,0.0000,0.0000
1757318859.527,16.611451,-5.9134,0.0000,0.0000
1757318859.727,16.667999,-5.8934,0.0000,0.0000
1757318859.927,16.716478,-5.8755,0.0000,0.0000
1757318860.127,16.765529,-5.8582,0.0000,0.0000
1757318860.327,16.819731,-5.8386,0.0000,0.0000
1757318860.527,16.868241,-5.8213,0.0000,0.0000
1757318860.727,16.922109,-5.8023,0.0000,0.0000
1757318860.927,16.975587,-5.7866,0.0000,0.0000
1757318861.127,17.023292,-5.7696,0.0000,0.0000
1757318861.327,17.080763,-5.7501,0.0000,0.0000
1757318861.527,17.133492,-5.7316,0.0000,0.0000
1757318861.727,17.180413,-5.7153,0.0000,0.0000
1757318861.927,17.238079,-5.6960,0.0000,0.0000
1757318862.127,17.290748,-5.6780,0.0000,0.0000
1757318862.327,17.337116,-5.6624,0.0000,0.0000
1757318862.527,17.399137,-5.6448,0.0000,0.0000
1757318862.727,17.452412,-5.6268,0.0000,0.0000
1757318862.927,17.507202,-5.6091,0.0000,0.0000
1757318863.127,17.565920,-5.5895,0.0000,0.0000
1757318863.327,17.618448,-5.5722,0.0000,0.0000
1757318863.527,17.677426,-5.5532,0.0000,0.0000
1757318863.727,17.735464,-5.5344,0.0000,0.0000
1757318863.927,17.787254,-5.5178,0.0000,0.0000
1757318864.127,17.845867,-5.4992,0.0000,0.0000
1757318864.327,17.904300,-5.4836,0.0000,0.0000
1757318864.527,17.955126,-5.4673,0.0000,0.0000
1757318864.727,18.018788,-5.4480,0.0000,0.0000
1757318864.927,18.077488,-5.4296,0.0000,0.0000
1757318865.127,18.132146,-5.4133,0.0000,0.0000
1757318865.327,18.198453,-5.3925,0.0000,0.0000
1757318865.527,18.256402,-5.3748,0.0000,0.0000
1757318865.727,18.314061,-5.3575,0.0000,0.0000
1757318865.927,18.378723,-5.3410,0.0000,0.0000
1757318866.127,18.436062,-5.3236,0.0000,0.0000
1757318866.327,18.495759,-5.3065,0.0000,0.0000
1757318866.527,18.560658,-5.2869,0.0000,0.0000
1757318866.727,18.617148,-5.2703,0.0000,0.0000
1757318866.927,18.683209,-5.2513,0.0000,0.0000
1757318867.127,18.748036,-5.2325,0.0000,0.0000
1757318867.327,18.805908,-5.2159,0.0000,0.0000
1757318867.527,18.876524,-5.1991,0.0000,0.0000
1757318867.727,18.939841,-5.1808,0.0000,0.0000
1757318867.927,18.996777,-5.1645,0.0000,0.0000
1757318868.127,19.071186,-5.1443,0.0000,0.0000
1757318868.327,19.134618,-5.1264,0.0000,0.0000
1757318868.527,19.198728,-5.1091,0.0000,0.0000
