t_sec,intensity,x,y,yaw
1757401695.676,2.695599,-5.9999,0.0000,0.0000
1757401695.876,2.695602,-5.9999,0.0000,0.0000
1757401696.076,2.695599,-5.9999,0.0000,0.0000
1757401696.276,2.695600,-5.9999,0.0000,0.0000
1757401696.476,2.695600,-5.9999,0.0000,0.0000
1757401696.676,2.695601,-5.9999,0.0000,0.0000
1757401696.876,2.695599,-5.9999,0.0000,0.0000
1757401697.076,2.695602,-5.9999,0.0000,0.0000
1757401697.276,2.695600,-5.9999,0.0000,0.0000
1757401697.476,2.695599,-5.9999,0.0000,0.0000
1757401697.676,2.695598,-5.9999,0.0000,0.0000
1757401697.876,2.695601,-5.9999,0.0000,0.0000
1757401698.076,2.695599,-5.9999,0.0000,0.0000
1757401698.276,2.695600,-5.9999,0.0000,0.0000
1757401698.476,2.695597,-5.9999,0.0000,0.0000
1757401698.676,2.695599,-5.9999,0.0000,0.0000
1757401698.876,2.695598,-5.9999,0.0000,0.0000
1757401699.076,2.695600,-5.9999,0.0000,0.0000
1757401699.276,2.695599,-5.9999,0.0000,0.0000
1757401699.476,2.695598,-5.9999,0.0000,0.0000
1757401699.676,2.695597,-5.9999,0.0000,0.0000
1757401699.876,2.695598,-5.9999,0.0000,0.0000
1757401700.076,2.695599,-5.9999,0.0000,0.0000
1757401700.276,2.695597,-5.9999,0.0000,0.0000
1757401700.476,2.695597,-5.9999,0.0000,0.0000
1757401700.676,2.695597,-5.9999,0.0000,0.0000
1757401700.876,2.695598,-5.9999,0.0000,0.0000
1757401701.076,2.695599,-5.9999,0.0000,0.0000
1757401701.276,2.695599,-5.9999,0.0000,0.0000
1757401701.476,2.695596,-5.9999,0.0000,0.0000
1757401701.676,2.695597,-5.9999,0.0000,0.0000
1757401701.876,2.695598,-5.9999,0.0000,0.0000
1757401702.076,2.695599,-5.9999,0.0000,0.0000
1757401702.276,2.695596,-5.9999,0.0000,0.0000
1757401702.476,2.695598,-5.9999,0.0000,0.0000
1757401702.676,2.703370,-5.9911,0.0000,0.0000
1757401702.876,2.716489,-5.9786,0.0000,0.0000
1757401703.076,2.733473,-5.9602,0.0000,0.0000
1757401703.276,2.749313,-5.9421,0.0000,0.0000
1757401703.476,2.762432,-5.9272,0.0000,0.0000
1757401703.676,2.779662,-5.9087,0.0000,0.0000
1757401703.876,2.795466,-5.8914,0.0000,0.0000
1757401704.076,2.809120,-5.8765,0.0000,0.0000
1757401704.276,2.827068,-5.8574,0.0000,0.0000
1757401704.476,2.843922,-5.8421,0.0000,0.0000
1757401704.676,2.857565,-5.8273,0.0000,0.0000
1757401704.876,2.875956,-5.8088,0.0000,0.0000
1757401705.076,2.892301,-5.7916,0.0000,0.0000
1757401705.276,2.906492,-5.7767,0.0000,0.0000
1757401705.476,2.925265,-5.7581,0.0000,0.0000
1757401705.676,2.942762,-5.7402,0.0000,0.0000
1757401705.876,2.957533,-5.7253,0.0000,0.0000
1757401706.076,2.976402,-5.7096,0.0000,0.0000
1757401706.276,2.994082,-5.6919,0.0000,0.0000
1757401706.476,3.008871,-5.6771,0.0000,0.0000
1757401706.676,3.028567,-5.6586,0.0000,0.0000
1757401706.876,3.046263,-5.6415,0.0000,0.0000
1757401707.076,3.061455,-5.6268,0.0000,0.0000
1757401707.276,3.081841,-5.6079,0.0000,0.0000
1757401707.476,3.100897,-5.5900,0.0000,0.0000
1757401707.676,3.116702,-5.5753,0.0000,0.0000
1757401707.876,3.137016,-5.5599,0.0000,0.0000
1757401708.076,3.156400,-5.5418,0.0000,0.0000
1757401708.276,3.172434,-5.5269,0.0000,0.0000
1757401708.476,3.193793,-5.5084,0.0000,0.0000
1757401708.676,3.212979,-5.4913,0.0000,0.0000
1757401708.876,3.229739,-5.4764,0.0000,0.0000
1757401709.076,3.252014,-5.4573,0.0000,0.0000
1757401709.276,3.272703,-5.4394,0.0000,0.0000
1757401709.476,3.289874,-5.4268,0.0000,0.0000
1757401709.676,3.312748,-5.4083,0.0000,0.0000
1757401709.876,3.332882,-5.3911,0.0000,0.0000
1757401710.076,3.350334,-5.3763,0.0000,0.0000
1757401710.276,3.373437,-5.3578,0.0000,0.0000
1757401710.476,3.394064,-5.3408,0.0000,0.0000
1757401710.676,3.412282,-5.3259,0.0000,0.0000
1757401710.876,3.436282,-5.3068,0.0000,0.0000
1757401711.076,3.458816,-5.2916,0.0000,0.0000
1757401711.276,3.477299,-5.2765,0.0000,0.0000
1757401711.476,3.502046,-5.2580,0.0000,0.0000
1757401711.676,3.523970,-5.2408,0.0000,0.0000
1757401711.876,3.543002,-5.2260,0.0000,0.0000
1757401712.076,3.568014,-5.2075,0.0000,0.0000
1757401712.276,3.590988,-5.1901,0.0000,0.0000
1757401712.476,3.610855,-5.1753,0.0000,0.0000
1757401712.676,3.636382,-5.1565,0.0000,0.0000
1757401712.876,3.660447,-5.1417,0.0000,0.0000
1757401713.076,3.680365,-5.1268,0.0000,0.0000
1757401713.276,3.707109,-5.1084,0.0000,0.0000
1757401713.476,3.731016,-5.0912,0.0000,0.0000
1757401713.676,3.751793,-5.0764,0.0000,0.0000
1757401713.876,3.778833,-5.0579,0.0000,0.0000
1757401714.076,3.804185,-5.0403,0.0000,0.0000
1757401714.276,3.825888,-5.0255,0.0000,0.0000
1757401714.476,3.853635,-5.0098,0.0000,0.0000
1757401714.676,3.879663,-4.9921,0.0000,0.0000
1757401714.876,3.901460,-4.9772,0.0000,0.0000
1757401715.076,3.930521,-4.9588,0.0000,0.0000
1757401715.276,3.956954,-4.9415,0.0000,0.0000
1757401715.476,3.979331,-4.9268,0.0000,0.0000
1757401715.676,4.009473,-4.9079,0.0000,0.0000
1757401715.876,4.037760,-4.8900,0.0000,0.0000
1757401716.076,4.061252,-4.8775,0.0000,0.0000
1757401716.276,4.091400,-4.8599,0.0000,0.0001
1757401716.476,4.120286,-4.8418,0.0000,0.0000
1757401716.676,4.144211,-4.8269,0.0000,0.0001
1757401716.876,4.176033,-4.8084,0.0000,0.0001
1757401717.076,4.204718,-4.7912,0.0000,0.0001
1757401717.276,4.229806,-4.7764,0.0000,0.0001
1757401717.476,4.263134,-4.7572,0.0000,0.0001
1757401717.676,4.294196,-4.7394,0.0000,0.0001
1757401717.876,4.320018,-4.7268,0.0000,0.0001
1757401718.076,4.354366,-4.7083,0.0000,0.0001
1757401718.276,4.384706,-4.6911,0.0000,0.0001
1757401718.476,4.411046,-4.6763,0.0000,0.0001
1757401718.676,4.445883,-4.6578,0.0000,0.0001
1757401718.876,4.476944,-4.6408,0.0000,0.0001
1757401719.076,4.504567,-4.6259,0.0000,0.0001
1757401719.276,4.541031,-4.6068,0.0000,0.0001
1757401719.476,4.575269,-4.5916,0.0000,0.0001
1757401719.676,4.603039,-4.5767,0.0000,0.0001
1757401719.876,4.640665,-4.5582,0.0000,0.0001
1757401720.076,4.674099,-4.5410,0.0001,0.0001
1757401720.276,4.703057,-4.5262,0.0001,0.0001
1757401720.476,4.741176,-4.5076,0.0001,0.0001
1757401720.676,4.776765,-4.4901,0.0001,0.0001
1757401720.876,4.807266,-4.4753,0.0001,0.0001
1757401721.076,4.846373,-4.4596,0.0001,0.0001
1757401721.276,4.883037,-4.4419,0.0001,0.0001
1757401721.476,4.913761,-4.4270,0.0001,0.0001
1757401721.676,4.954885,-4.4086,0.0001,0.0001
1757401721.876,4.991847,-4.3914,0.0001,0.0001
1757401722.076,5.024047,-4.3766,0.0001,0.0001
1757401722.276,5.066931,-4.3577,0.0001,0.0001
1757401722.476,5.107028,-4.3398,0.0001,0.0001
1757401722.676,5.140351,-4.3251,0.0001,0.0001
1757401722.876,5.183020,-4.3096,0.0001,0.0001
1757401723.076,5.223630,-4.2919,0.0001,0.0001
1757401723.276,5.257697,-4.2771,0.0001,0.0001
1757401723.476,5.303064,-4.2586,0.0001,0.0001
