x,y,predicted_intensity
-9.5,-10.0,-0.001120415520850973
-9.25,-10.0,0.0001591380331900892
-9.0,-10.0,0.040783935724917564
-8.75,-10.0,0.1504071211242906
-8.5,-10.0,0.2066090543314252
-8.25,-10.0,0.14991807460884735
-8.0,-10.0,0.10118197582691263
-7.75,-10.0,0.09135995517475283
-7.5,-10.0,0.08311179468592206
-7.25,-10.0,0.060552970743938714
-7.0,-10.0,0.043774486060146375
-6.75,-10.0,0.06928963599882373
-6.5,-10.0,0.10318554054813184
-6.25,-10.0,0.08420047699868943
-6.0,-10.0,0.036715853976659385
-5.75,-10.0,0.012862921998309186
-5.5,-10.0,0.008537071641133384
-5.25,-10.0,0.012438987466702594
-5.0,-10.0,0.0380961738519312
-4.75,-10.0,0.09221791035059365
-4.5,-10.0,0.12136555827259526
-4.25,-10.0,0.1109248601861712
-4.0,-10.0,0.11747024917061678
-3.75,-10.0,0.130549327002365
-3.5,-10.0,0.12234949103300914
-3.25,-10.0,0.11256456433531571
-3.0,-10.0,0.1171741585084505
-2.75,-10.0,0.11508440141208563
-2.5,-10.0,0.1428781693569759
-2.25,-10.0,0.15550640826001977
-2.0,-10.0,0.14583625748487974
-1.75,-10.0,0.1664285369561511
-1.5,-10.0,0.15028513026713874
-1.25,-10.0,0.18317943871838294
-1.0,-10.0,0.387538108429097
-0.75,-10.0,0.7503830593705976
-0.5,-10.0,0.8033496946645535
-0.25,-10.0,0.8675404379396303
0.0,-10.0,0.8709791616630791
0.25,-10.0,0.8025202149018851
0.5,-10.0,0.647988391934712
0.75,-10.0,1.1879315754222795
1.0,-10.0,0.6889888397958863
1.25,-10.0,2.563077685263277
1.5,-10.0,2.738648045283149
1.75,-10.0,0.8175873669785112
2.0,-10.0,1.9262064540424513
2.25,-10.0,1.982115253494837
2.5,-10.0,2.7694936277549833
2.75,-10.0,3.450049150435692
3.0,-10.0,2.8800047783589138
3.25,-10.0,2.7421669067201426
3.5,-10.0,2.841432172759883
3.75,-10.0,2.5248958865544866
4.0,-10.0,2.524254667834332
4.25,-10.0,2.475564166220648
4.5,-10.0,2.438998753519801
4.75,-10.0,2.1805192141587044
5.0,-10.0,2.0053897086993784
5.25,-10.0,1.990757000899586
5.5,-10.0,1.8274704559199404
5.75,-10.0,1.5652854548979327
6.0,-10.0,1.7481392668512186
6.25,-10.0,1.720373704968941
6.5,-10.0,1.471568929199472
6.75,-10.0,1.4650886949178397
7.0,-10.0,1.0029215085790322
7.25,-10.0,0.9160407605700662
7.5,-10.0,0.9415155869037242
7.75,-10.0,0.7082333491209828
8.0,-10.0,0.6834765029613159
8.25,-10.0,0.6752534033635111
8.5,-10.0,0.6224069123976803
8.75,-10.0,0.6070657365584983
9.0,-10.0,0.41541809332667123
9.25,-10.0,0.14641414139241887
-9.5,-9.75,-3.088379843968394e-06
-9.25,-9.75,0.030529807047338233
-9.0,-9.75,0.261898377004092
-8.75,-9.75,0.787311402141748
-8.5,-9.75,1.0517816869123298
-8.25,-9.75,0.7967074952630109
-8.0,-9.75,0.5719638326605483
-7.75,-9.75,0.5288727773648025
-7.5,-9.75,0.4920609125953411
-7.25,-9.75,0.381965737791795
-7.0,-9.75,0.2940480607022665
-6.75,-9.75,0.42152448362678735
-6.5,-9.75,0.5880700655878004
-6.25,-9.75,0.4898307613228678
-6.0,-9.75,0.25447985281744484
-5.75,-9.75,0.13520998635261294
-5.5,-9.75,0.11181724428886788
-5.25,-9.75,0.1293457608428013
-5.0,-9.75,0.2626173282759826
-4.75,-9.75,0.5476732877508041
-4.5,-9.75,0.6941624778943374
-4.25,-9.75,0.6482629071899512
-4.0,-9.75,0.689823938559351
-3.75,-9.75,0.7583416135610648
-3.5,-9.75,0.7272233044779913
-3.25,-9.75,0.6957751120420673
-3.0,-9.75,0.732370356587452
-2.75,-9.75,0.7358443885098322
-2.5,-9.75,0.8883604096475306
-2.25,-9.75,0.9720333235870695
-2.0,-9.75,0.9752393557270729
-1.75,-9.75,1.115596733652797
-1.5,-9.75,1.1029709479860583
-1.25,-9.75,1.277986785346246
-1.0,-9.75,2.3550699001681066
-0.75,-9.75,4.138995772174811
-0.5,-9.75,4.442203663081406
-0.25,-9.75,4.935923279075537
0.0,-9.75,4.984586323469443
0.25,-9.75,4.813027749382734
0.5,-9.75,4.064124486688868
0.75,-9.75,6.6937694407180715
1.0,-9.75,4.289407586803847
1.25,-9.75,13.745042161330275
