t_sec,intensity,x,y,yaw
1757324533.072,16.368508,-5.9999,0.0000,0.0000
1757324533.272,16.368501,-5.9999,0.0000,0.0000
1757324533.472,16.368506,-5.9999,0.0000,0.0000
1757324533.672,16.368508,-5.9999,0.0000,0.0000
1757324533.872,16.368506,-5.9999,0.0000,0.0000
1757324534.072,16.368502,-5.9999,0.0000,0.0000
1757324534.272,16.368499,-5.9999,0.0000,0.0000
1757324534.472,16.368505,-5.9999,0.0000,0.0000
1757324534.672,16.368506,-5.9999,0.0000,0.0000
1757324534.872,16.368506,-5.9999,0.0000,0.0000
1757324535.072,16.368499,-5.9999,0.0000,0.0000
1757324535.272,16.368500,-5.9999,0.0000,0.0000
1757324535.472,16.368502,-5.9999,0.0000,0.0000
1757324535.672,16.368505,-5.9999,0.0000,0.0000
1757324535.872,16.368505,-5.9999,0.0000,0.0000
1757324536.072,16.368499,-5.9999,0.0000,0.0000
1757324536.272,16.368500,-5.9999,0.0000,0.0000
1757324536.472,16.368504,-5.9999,0.0000,0.0000
1757324536.672,16.368504,-5.9999,0.0000,0.0000
1757324536.872,16.368507,-5.9999,0.0000,0.0000
1757324537.072,16.368497,-5.9999,0.0000,0.0000
1757324537.272,16.368499,-5.9999,0.0000,0.0000
1757324537.472,16.368502,-5.9999,0.0000,0.0000
1757324537.672,16.368500,-5.9999,0.0000,0.0000
1757324537.872,16.368501,-5.9999,0.0000,0.0000
1757324538.072,16.368500,-5.9999,0.0000,0.0000
1757324538.272,16.368497,-5.9999,0.0000,0.0000
1757324538.472,16.368503,-5.9999,0.0000,0.0000
1757324538.672,16.368496,-5.9999,0.0000,0.0000
1757324538.872,16.368504,-5.9999,0.0000,0.0000
1757324539.072,16.368500,-5.9999,0.0000,0.0000
1757324539.272,16.368503,-5.9999,0.0000,0.0000
1757324539.472,16.368497,-5.9999,0.0000,0.0000
1757324539.672,16.368496,-5.9999,0.0000,0.0000
1757324539.872,16.368495,-5.9999,0.0000,0.0000
1757324540.072,16.368503,-5.9999,0.0000,0.0000
1757324540.272,16.368496,-5.9999,0.0000,0.0000
1757324540.472,16.368494,-5.9999,0.0000,0.0000
1757324540.672,16.368496,-5.9999,0.0000,0.0000
1757324540.872,16.369136,-5.9999,0.0000,0.0000
1757324541.072,16.421424,-5.9809,0.0000,0.0000
1757324541.272,16.485039,-5.9572,0.0000,0.0000
1757324541.472,16.553780,-5.9358,0.0000,0.0000
1757324541.672,16.618866,-5.9128,0.0000,0.0000
1757324541.872,16.689832,-5.8862,0.0000,0.0000
1757324542.072,16.754904,-5.8632,0.0000,0.0000
1757324542.272,16.828072,-5.8367,0.0000,0.0000
1757324542.472,16.893334,-5.8132,0.0000,0.0000
1757324542.672,16.967778,-5.7871,0.0000,0.0000
1757324542.872,17.034829,-5.7636,0.0000,0.0000
1757324543.072,17.110514,-5.7415,0.0000,0.0000
1757324543.272,17.179061,-5.7176,0.0000,0.0000
1757324543.472,17.253894,-5.6925,0.0000,0.0000
1757324543.672,17.323959,-5.6685,0.0000,0.0000
1757324543.872,17.398984,-5.6436,0.0000,0.0000
1757324544.072,17.470582,-5.6196,0.0000,0.0000
1757324544.272,17.546539,-5.5947,0.0000,0.0000
1757324544.472,17.621171,-5.5703,0.0000,0.0000
1757324544.672,17.700275,-5.5489,0.0000,0.0000
1757324544.872,17.775040,-5.5245,0.0000,0.0000
1757324545.072,17.855206,-5.4994,0.0000,0.0000
1757324545.272,17.931626,-5.4749,0.0000,0.0000
1757324545.472,18.010897,-5.4505,0.0000,0.0000
1757324545.672,18.090153,-5.4256,0.0000,0.0000
1757324545.872,18.171121,-5.4010,0.0000,0.0000
1757324546.072,18.252144,-5.3761,0.0000,0.0000
1757324546.272,18.333736,-5.3514,0.0000,0.0000
1757324546.472,18.417049,-5.3305,0.0000,0.0000
1757324546.672,18.496566,-5.3079,0.0000,0.0000
1757324546.872,18.584134,-5.2812,0.0000,0.0000
1757324547.072,18.663126,-5.2588,0.0000,0.0000
1757324547.272,18.753431,-5.2321,0.0000,0.0000
