t_sec,intensity,x,y,yaw
1757398387.370,2.695598,-5.9999,0.0000,0.0000
1757398387.570,2.695599,-5.9999,0.0000,0.0000
1757398387.770,2.695599,-5.9999,0.0000,0.0000
1757398387.970,2.695598,-5.9999,0.0000,0.0000
1757398388.170,2.695596,-5.9999,0.0000,0.0000
1757398388.370,2.695597,-5.9999,0.0000,0.0000
1757398388.570,2.695599,-5.9999,0.0000,0.0000
1757398388.770,2.695599,-5.9999,0.0000,0.0000
1757398388.970,2.695598,-5.9999,0.0000,0.0000
1757398389.170,2.695596,-5.9999,0.0000,0.0000
1757398389.370,2.695596,-5.9999,0.0000,0.0000
1757398389.570,2.695599,-5.9999,0.0000,0.0000
1757398389.770,2.695598,-5.9999,0.0000,0.0000
1757398389.970,2.695596,-5.9999,0.0000,0.0000
1757398390.170,2.695597,-5.9999,0.0000,0.0000
1757398390.370,2.695597,-5.9999,0.0000,0.0000
1757398390.570,2.695597,-5.9999,0.0000,0.0000
1757398390.770,2.695595,-5.9999,0.0000,0.0000
1757398390.970,2.695599,-5.9999,0.0000,0.0000
1757398391.170,2.695597,-5.9999,0.0000,0.0000
1757398391.370,2.695596,-5.9999,0.0000,0.0000
1757398391.570,2.695594,-5.9999,0.0000,0.0000
1757398391.770,2.695597,-5.9999,0.0000,0.0000
1757398391.970,2.695597,-5.9999,0.0000,0.0000
1757398392.170,2.695597,-5.9999,0.0000,0.0000
1757398392.370,2.695596,-5.9999,0.0000,0.0000
1757398392.570,2.695595,-5.9999,0.0000,0.0000
1757398392.770,2.695595,-5.9999,0.0000,0.0000
1757398392.970,2.695598,-5.9999,0.0000,0.0000
1757398393.170,2.695594,-5.9999,0.0000,0.0000
1757398393.370,2.695597,-5.9999,0.0000,0.0000
1757398393.570,2.695596,-5.9999,0.0000,0.0000
1757398393.770,2.695597,-5.9999,0.0000,0.0000
1757398393.970,2.695596,-5.9999,0.0000,0.0000
1757398394.170,2.695594,-5.9999,0.0000,0.0000
1757398394.370,2.695595,-5.9999,0.0000,0.0000
1757398394.570,2.708254,-5.9874,0.0000,0.0000
1757398394.770,2.723098,-5.9704,0.0000,0.0000
1757398394.970,2.740321,-5.9512,0.0000,0.0000
1757398395.170,2.756788,-5.9328,0.0000,0.0000
1757398395.370,2.771540,-5.9165,0.0000,0.0000
1757398395.570,2.790436,-5.8990,0.0000,0.0000
1757398395.770,2.806497,-5.8811,0.0000,0.0000
1757398395.970,2.821018,-5.8653,0.0000,0.0000
1757398396.170,2.840200,-5.8453,0.0000,0.0000
1757398396.370,2.856447,-5.8279,0.0000,0.0000
1757398396.570,2.873960,-5.8098,0.0000,0.0000
1757398396.770,2.892519,-5.7905,0.0000,0.0000
1757398396.970,2.909351,-5.7732,0.0000,0.0000
1757398397.169,2.927728,-5.7576,0.0000,0.0000
1757398397.370,2.946057,-5.7388,0.0000,0.0000
1757398397.570,2.962735,-5.7220,0.0000,0.0000
1757398397.770,2.982060,-5.7032,0.0000,0.0000
1757398397.970,3.000653,-5.6848,0.0000,0.0000
1757398398.170,3.017235,-5.6685,0.0000,0.0000
1757398398.370,3.038499,-5.6482,0.0000,0.0000
1757398398.570,3.057349,-5.6302,0.0000,0.0000
1757398398.770,3.075879,-5.6126,0.0000,0.0000
1757398398.970,3.096753,-5.5962,0.0000,0.0000
1757398399.170,3.115517,-5.5785,0.0000,0.0000
1757398399.370,3.133776,-5.5627,0.0000,0.0000
1757398399.570,3.155336,-5.5423,0.0000,0.0000
1757398399.770,3.173867,-5.5253,0.0000,0.0000
1757398399.970,3.194119,-5.5074,0.0000,0.0000
1757398400.170,3.215681,-5.4883,0.0000,0.0000
1757398400.370,3.235010,-5.4713,0.0000,0.0000
1757398400.570,3.257269,-5.4552,0.0000,0.0000
1757398400.770,3.278769,-5.4364,0.0000,0.0000
1757398400.970,3.297998,-5.4197,0.0000,0.0000
1757398401.170,3.322359,-5.3997,0.0000,0.0000
1757398401.370,3.343766,-5.3816,0.0000,0.0000
1757398401.570,3.362846,-5.3657,0.0000,0.0000
1757398401.770,3.387341,-5.3458,0.0000,0.0000
1757398401.970,3.408658,-5.3285,0.0000,0.0000
1757398402.170,3.430205,-5.3154,0.0000,0.0000
1757398402.369,3.454715,-5.2946,0.0000,0.0000
1757398402.570,3.476843,-5.2769,0.0000,0.0000
1757398402.770,3.500835,-5.2587,0.0000,0.0000
1757398402.970,3.525411,-5.2395,0.0000,0.0000
1757398403.170,3.547443,-5.2225,0.0000,0.0000
1757398403.370,3.573479,-5.2030,0.0000,0.0000
1757398403.570,3.598017,-5.1846,0.0000,0.0000
1757398403.770,3.619961,-5.1683,0.0000,0.0000
1757398403.970,3.646274,-5.1522,0.0000,0.0000
1757398404.170,3.671248,-5.1338,0.0000,0.0000
1757398404.370,3.693526,-5.1175,0.0000,0.0000
1757398404.570,3.722361,-5.0974,0.0000,0.0000
1757398404.770,3.747630,-5.0794,0.0000,0.0000
1757398404.969,3.773272,-5.0617,0.0000,0.0000
1757398405.170,3.801448,-5.0422,0.0000,0.0000
1757398405.370,3.826816,-5.0248,0.0000,0.0000
1757398405.570,3.854868,-5.0092,0.0000,0.0000
1757398405.770,3.882863,-4.9901,0.0000,0.0000
1757398405.970,3.908084,-4.9733,0.0000,0.0000
1757398406.170,3.936068,-4.9554,0.0000,0.0001
1757398406.370,3.964408,-4.9368,0.0000,0.0001
1757398406.570,3.989947,-4.9203,0.0000,0.0001
1757398406.770,4.020977,-4.9008,0.0000,0.0001
1757398406.970,4.050275,-4.8824,0.0000,0.0001
1757398407.170,4.076493,-4.8686,0.0000,0.0001
