t_sec,intensity,x,y,yaw
1762329667.078,2.695600,-5.9999,0.0000,0.0000
1762329667.278,2.695602,-5.9999,0.0000,0.0000
1762329667.478,2.695601,-5.9999,0.0000,0.0000
1762329667.678,2.695603,-5.9999,0.0000,0.0000
1762329667.878,2.695600,-5.9999,0.0000,0.0000
1762329668.078,2.695600,-5.9999,0.0000,0.0000
1762329668.278,2.695602,-5.9999,0.0000,0.0000
1762329668.478,2.695603,-5.9999,0.0000,0.0000
1762329668.678,2.695602,-5.9999,0.0000,0.0000
1762329668.878,2.695602,-5.9999,0.0000,0.0000
1762329669.078,2.695600,-5.9999,0.0000,0.0000
1762329669.278,2.695601,-5.9999,0.0000,0.0000
1762329669.478,2.695600,-5.9999,0.0000,0.0000
1762329669.678,2.695602,-5.9999,0.0000,0.0000
1762329669.878,2.695600,-5.9999,0.0000,0.0000
1762329670.078,2.695600,-5.9999,0.0000,0.0000
1762329670.278,2.695599,-5.9999,0.0000,0.0000
1762329670.478,2.695602,-5.9999,0.0000,0.0000
1762329670.678,2.695599,-5.9999,0.0000,0.0000
1762329670.878,2.695601,-5.9999,0.0000,0.0000
1762329671.078,2.695600,-5.9999,0.0000,0.0000
1762329671.278,2.695602,-5.9999,0.0000,0.0000
1762329671.478,2.695600,-5.9999,0.0000,0.0000
1762329671.678,2.695600,-5.9999,0.0000,0.0000
1762329671.878,2.695601,-5.9999,0.0000,0.0000
1762329672.078,2.695599,-5.9999,0.0000,0.0000
1762329672.278,2.695600,-5.9999,0.0000,0.0000
1762329672.478,2.695601,-5.9999,0.0000,0.0000
1762329672.678,2.695599,-5.9999,0.0000,0.0000
1762329672.878,2.695598,-5.9999,0.0000,0.0000
1762329673.078,2.695598,-5.9999,0.0000,0.0000
1762329673.278,2.695600,-5.9999,0.0000,0.0000
1762329673.478,2.695599,-5.9999,0.0000,0.0000
1762329673.678,2.695600,-5.9999,0.0000,0.0000
1762329673.878,2.695599,-5.9999,0.0000,0.0000
1762329674.078,2.695599,-5.9999,0.0000,0.0000
1762329674.278,2.695598,-5.9999,0.0000,0.0000
1762329674.478,2.695600,-5.9999,0.0000,0.0000
1762329674.678,2.695599,-5.9999,0.0000,0.0000
1762329674.878,2.695597,-5.9999,0.0000,0.0000
1762329675.078,2.699772,-5.9965,0.0000,0.0000
1762329675.278,2.713044,-5.9813,0.0000,0.0000
1762329675.478,2.728786,-5.9637,0.0000,0.0000
1762329675.678,2.745332,-5.9451,0.0000,0.0000
1762329675.878,2.758959,-5.9299,0.0000,0.0000
1762329676.078,2.776460,-5.9140,0.0000,0.0000
1762329676.278,2.793423,-5.8950,0.0000,0.0000
1762329676.478,2.807605,-5.8793,0.0000,0.0000
1762329676.678,2.824754,-5.8613,0.0000,0.0000
1762329676.878,2.841008,-5.8438,0.0000,0.0000
1762329677.078,2.855295,-5.8285,0.0000,0.0000
1762329677.278,2.872462,-5.8107,0.0000,0.0000
1762329677.478,2.889323,-5.7932,0.0000,0.0000
1762329677.678,2.903914,-5.7805,0.0000,0.0000
1762329677.878,2.922710,-5.7623,0.0000,0.0000
1762329678.078,2.940233,-5.7440,0.0000,0.0000
1762329678.278,2.955166,-5.7288,0.0000,0.0000
1762329678.478,2.972962,-5.7115,0.0000,0.0000
1762329678.678,2.990465,-5.6940,0.0000,0.0000
1762329678.878,3.005919,-5.6788,0.0000,0.0000
1762329679.078,3.023999,-5.6613,0.0000,0.0000
1762329679.278,3.042436,-5.6465,0.0000,0.0000
1762329679.478,3.058446,-5.6307,0.0000,0.0000
1762329679.678,3.078457,-5.6127,0.0000,0.0000
1762329679.878,3.097782,-5.5942,0.0000,0.0000
1762329680.078,3.114045,-5.5788,0.0000,0.0000
1762329680.278,3.133202,-5.5616,0.0000,0.0000
1762329680.478,3.152278,-5.5440,0.0000,0.0000
1762329680.678,3.169027,-5.5288,0.0000,0.0000
1762329680.878,3.189981,-5.5101,0.0000,0.0000
1762329681.078,3.210586,-5.4948,0.0000,0.0000
1762329681.278,3.227898,-5.4790,0.0000,0.0000
1762329681.478,3.249240,-5.4610,0.0000,0.0000
1762329681.678,3.269418,-5.4433,0.0000,0.0000
1762329681.878,3.286997,-5.4281,0.0000,0.0000
1762329682.078,3.308325,-5.4103,0.0000,0.0000
1762329682.278,3.329081,-5.3928,0.0000,0.0000
1762329682.478,3.346850,-5.3779,0.0000,0.0000
1762329682.678,3.370140,-5.3621,0.0000,0.0000
1762329682.878,3.391720,-5.3438,0.0000,0.0000
1762329683.078,3.410387,-5.3284,0.0000,0.0000
1762329683.278,3.433033,-5.3108,0.0000,0.0000
1762329683.478,3.454763,-5.2933,0.0000,0.0000
1762329683.678,3.473793,-5.2781,0.0000,0.0000
1762329683.878,3.496858,-5.2603,0.0000,0.0000
1762329684.078,3.519473,-5.2427,0.0000,0.0000
1762329684.278,3.538824,-5.2302,0.0000,0.0000
1762329684.478,3.564146,-5.2120,0.0000,0.0000
1762329684.678,3.587700,-5.1937,0.0000,0.0000
1762329684.878,3.608052,-5.1783,0.0000,0.0000
1762329685.078,3.632086,-5.1611,0.0000,0.0000
1762329685.278,3.655797,-5.1435,0.0000,0.0000
1762329685.478,3.676647,-5.1283,0.0000,0.0000
1762329685.678,3.701170,-5.1109,0.0000,0.0000
1762329685.878,3.725581,-5.0935,0.0000,0.0000
1762329686.078,3.746949,-5.0808,0.0000,0.0000
1762329686.278,3.774172,-5.0627,0.0000,0.0000
1762329686.478,3.800336,-5.0443,0.0000,0.0000
1762329686.678,3.822545,-5.0287,0.0000,0.0000
1762329686.878,3.848625,-5.0115,0.0000,0.0000
1762329687.078,3.874561,-4.9939,0.0000,0.0000
1762329687.278,3.897355,-4.9787,0.0000,0.0000
1762329687.478,3.923992,-4.9613,0.0000,0.0000
1762329687.678,3.951248,-4.9464,0.0000,0.0000
1762329687.878,3.974954,-4.9307,0.0000,0.0000
1762329688.078,4.004541,-4.9126,0.0000,0.0000
1762329688.278,4.033214,-4.8942,0.0000,0.0000
1762329688.478,4.057384,-4.8788,0.0000,0.0000
1762329688.678,4.085813,-4.8615,0.0000,0.0001
1762329688.878,4.114230,-4.8440,0.0000,0.0000
1762329689.078,4.139205,-4.8288,0.0000,0.0000
1762329689.278,4.170423,-4.8133,0.0000,0.0001
1762329689.478,4.201221,-4.7947,0.0000,0.0000
1762329689.678,4.227148,-4.7789,0.0000,0.0001
1762329689.878,4.259060,-4.7610,0.0000,0.0001
1762329690.078,4.289036,-4.7434,0.0000,0.0001
1762329690.278,4.315454,-4.7282,0.0000,0.0001
1762329690.478,4.347469,-4.7104,0.0000,0.0001
1762329690.678,4.378749,-4.6929,0.0000,0.0001
1762329690.878,4.405551,-4.6780,0.0000,0.0001
1762329691.078,4.440648,-4.6622,0.0000,0.0001
1762329691.278,4.473312,-4.6440,0.0000,0.0001
1762329691.478,4.501586,-4.6286,0.0000,0.0001
1762329691.678,4.535512,-4.6111,0.0000,0.0001
1762329691.878,4.568358,-4.5936,0.0000,0.0001
1762329692.078,4.597450,-4.5784,0.0000,0.0001
1762329692.278,4.631776,-4.5609,0.0000,0.0001
1762329692.478,4.666268,-4.5434,0.0000,0.0001
1762329692.678,4.696178,-4.5307,0.0000,0.0001
1762329692.878,4.734421,-4.5126,0.0000,0.0001
1762329693.078,4.771133,-4.4942,0.0001,0.0001
1762329693.278,4.802847,-4.4784,0.0001,0.0001
1762329693.478,4.839669,-4.4612,0.0001,0.0001
1762329693.678,4.876157,-4.4436,0.0001,0.0001
1762329693.878,4.908278,-4.4284,0.0001,0.0001
1762329694.078,4.946022,-4.4110,0.0001,0.0001
1762329694.278,4.983741,-4.3963,0.0001,0.0001
1762329694.478,5.016643,-4.3809,0.0001,0.0001
1762329694.678,5.058653,-4.3629,0.0001,0.0001
1762329694.878,5.099307,-4.3444,0.0001,0.0001
1762329695.078,5.133618,-4.3290,0.0001,0.0001
1762329695.278,5.174118,-4.3118,0.0001,0.0001
1762329695.478,5.214555,-4.2942,0.0001,0.0001
1762329695.678,5.250138,-4.2790,0.0001,0.0001
1762329695.878,5.294776,-4.2603,0.0001,0.0001
1762329696.078,5.338339,-4.2451,0.0001,0.0001
1762329696.278,5.375589,-4.2294,0.0001,0.0001
1762329696.478,5.421469,-4.2114,0.0001,0.0001
1762329696.678,5.464875,-4.1937,0.0001,0.0001
1762329696.878,5.502790,-4.1785,0.0001,0.0001
1762329697.078,5.549006,-4.1607,0.0001,0.0001
1762329697.278,5.593987,-4.1431,0.0001,0.0001
1762329697.478,5.632617,-4.1283,0.0001,0.0001
1762329697.678,5.683500,-4.1125,0.0001,0.0001
1762329697.878,5.730439,-4.0942,0.0001,0.0001
1762329698.078,5.771381,-4.0788,0.0001,0.0001
1762329698.278,5.821183,-4.0612,0.0001,0.0001
1762329698.478,5.869097,-4.0436,0.0001,0.0001
1762329698.678,5.911365,-4.0284,0.0001,0.0001
1762329698.878,5.962582,-4.0106,0.0001,0.0001
1762329699.078,6.012834,-3.9931,0.0001,0.0001
1762329699.278,6.055966,-3.9806,0.0001,0.0001
1762329699.478,6.112684,-3.9623,0.0001,0.0001
1762329699.678,6.165463,-3.9441,0.0001,0.0001
1762329699.878,6.211205,-3.9287,0.0001,0.0001
1762329700.078,6.266066,-3.9112,0.0001,0.0001
1762329700.278,6.319679,-3.8937,0.0001,0.0001
1762329700.478,6.366757,-3.8785,0.0001,0.0001
1762329700.678,6.422569,-3.8611,0.0001,0.0001
1762329700.878,6.478289,-3.8437,0.0001,0.0001
1762329701.078,6.527213,-3.8310,0.0001,0.0001
1762329701.278,6.589735,-3.8129,0.0001,0.0001
1762329701.478,6.650031,-3.7945,0.0001,0.0001
1762329701.678,6.701610,-3.7789,0.0001,0.0001
1762329701.878,6.762161,-3.7617,0.0001,0.0001
1762329702.078,6.822429,-3.7441,0.0001,0.0001
1762329702.278,6.875579,-3.7289,0.0001,0.0001
1762329702.478,6.938013,-3.7115,0.0001,0.0001
1762329702.678,7.001953,-3.6966,0.0001,0.0001
1762329702.878,7.057725,-3.6809,0.0001,0.0001
1762329703.078,7.127765,-3.6628,0.0001,0.0001
1762329703.278,7.195385,-3.6444,0.0001,0.0001
1762329703.478,7.252899,-3.6290,0.0001,0.0001
1762329703.678,7.320760,-3.6117,0.0001,0.0001
1762329703.878,7.388817,-3.5942,0.0001,0.0001
1762329704.078,7.448816,-3.5790,0.0001,0.0001
1762329704.278,7.524091,-3.5635,0.0001,0.0001
1762329704.478,7.598631,-3.5449,0.0001,0.0001
1762329704.678,7.661875,-3.5291,0.0001,0.0001
1762329704.878,7.739784,-3.5112,0.0001,0.0001
1762329705.078,7.813832,-3.4934,0.0001,0.0001
1762329705.278,7.878624,-3.4782,0.0001,0.0001
1762329705.478,7.957612,-3.4604,0.0001,0.0001
1762329705.678,8.034881,-3.4429,0.0001,0.0001
1762329705.878,8.101341,-3.4280,0.0001,0.0001
1762329706.078,8.188423,-3.4122,0.0001,0.0001
1762329706.278,8.270101,-3.3940,0.0001,0.0001
1762329706.478,8.341049,-3.3786,0.0001,0.0001
1762329706.678,8.426493,-3.3611,0.0001,0.0001
1762329706.878,8.509944,-3.3436,0.0001,0.0001
1762329707.078,8.583707,-3.3284,0.0001,0.0001
1762329707.278,8.671286,-3.3109,0.0001,0.0001
1762329707.478,8.759420,-3.2934,0.0001,0.0001
1762329707.678,8.836160,-3.2807,0.0001,0.0001
1762329707.878,8.934892,-3.2626,0.0001,0.0001
1762329708.078,9.029829,-3.2442,0.0001,0.0001
1762329708.278,9.112162,-3.2284,0.0001,0.0001
1762329708.478,9.208397,-3.2112,0.0001,0.0001
1762329708.678,9.303919,-3.1936,0.0001,0.0001
1762329708.878,9.388333,-3.1784,0.0001,0.0001
1762329709.078,9.488177,-3.1610,0.0001,0.0001
1762329709.278,9.588111,-3.1436,0.0001,0.0001
1762329709.478,9.676100,-3.1309,0.0001,0.0001
1762329709.678,9.788840,-3.1129,0.0002,0.0001
1762329709.878,9.897899,-3.0944,0.0002,0.0001
1762329710.078,9.991429,-3.0789,0.0002,0.0001
1762329710.278,10.100944,-3.0616,0.0002,0.0001
1762329710.478,10.210948,-3.0441,0.0002,0.0001
1762329710.678,10.308164,-3.0288,0.0002,0.0001
1762329710.878,10.422454,-3.0114,0.0002,0.0001
1762329711.078,10.542592,-2.9962,0.0002,0.0001
1762329711.278,10.645118,-2.9805,0.0002,0.0001
1762329711.478,10.774281,-2.9624,0.0002,0.0001
1762329711.678,10.897400,-2.9443,0.0002,0.0001
1762329711.878,11.003904,-2.9291,0.0002,0.0001
1762329712.078,11.130360,-2.9118,0.0002,0.0001
1762329712.278,11.257911,-2.8943,0.0002,0.0001
1762329712.478,11.370654,-2.8791,0.0002,0.0001
1762329712.678,11.514933,-2.8634,0.0002,0.0001
1762329712.878,11.657502,-2.8445,0.0002,0.0001
1762329713.078,11.777628,-2.8287,0.0002,0.0001
1762329713.278,11.925695,-2.8107,0.0002,0.0001
1762329713.478,12.065730,-2.7932,0.0002,0.0001
1762329713.678,12.189949,-2.7780,0.0002,0.0001
1762329713.878,12.341493,-2.7602,0.0002,0.0001
1762329714.078,12.490650,-2.7427,0.0002,0.0001
1762329714.279,12.618739,-2.7278,0.0002,0.0001
1762329714.478,12.786033,-2.7121,0.0002,0.0001
1762329714.678,12.943374,-2.6942,0.0002,0.0001
1762329714.878,13.082155,-2.6788,0.0002,0.0001
1762329715.078,13.254638,-2.6608,0.0002,0.0001
1762329715.278,13.419148,-2.6433,0.0002,0.0001
1762329715.478,13.565107,-2.6280,0.0002,0.0001
1762329715.678,13.742158,-2.6103,0.0002,0.0001
1762329715.878,13.917803,-2.5927,0.0002,0.0001
1762329716.078,14.069401,-2.5802,0.0002,0.0001
1762329716.278,14.265656,-2.5621,0.0002,0.0001
1762329716.478,14.451368,-2.5442,0.0002,0.0001
1762329716.678,14.615245,-2.5288,0.0002,0.0001
1762329716.878,14.815144,-2.5110,0.0002,0.0001
1762329717.078,15.010017,-2.4935,0.0002,0.0001
1762329717.278,15.182903,-2.4783,0.0002,0.0001
1762329717.478,15.391450,-2.4605,0.0002,0.0001
1762329717.678,15.602160,-2.4456,0.0002,0.0001
1762329717.878,15.787028,-2.4299,0.0002,0.0001
1762329718.078,16.019115,-2.4118,0.0002,0.0001
1762329718.278,16.240684,-2.3939,0.0002,0.0001
1762329718.478,16.433812,-2.3787,0.0002,0.0001
1762329718.678,16.672146,-2.3609,0.0002,0.0001
1762329718.878,16.905115,-2.3434,0.0002,0.0001
1762329719.078,17.111818,-2.3282,0.0002,0.0001
1762329719.278,17.374691,-2.3093,0.0002,0.0001
1762329719.478,17.627458,-2.2944,0.0002,0.0001
1762329719.678,17.850166,-2.2787,0.0002,0.0001
1762329719.878,18.126249,-2.2607,0.0002,0.0001
1762329720.078,18.390684,-2.2430,0.0002,0.0001
1762329720.278,18.617951,-2.2281,0.0002,0.0001
1762329720.478,18.903960,-2.2103,0.0002,0.0001
1762329720.678,19.185804,-2.1928,0.0002,0.0001
1762329720.878,19.429980,-2.1780,0.0002,0.0001
1762329721.078,19.753981,-2.1621,0.0002,0.0001
1762329721.278,20.058391,-2.1439,0.0003,0.0001
1762329721.478,20.325007,-2.1285,0.0003,0.0001
1762329721.678,20.652594,-2.1109,0.0003,0.0001
1762329721.878,20.971092,-2.0933,0.0003,0.0001
1762329722.078,21.254865,-2.0781,0.0003,0.0001
1762329722.278,21.600383,-2.0603,0.0003,0.0001
1762329722.478,21.945245,-2.0428,0.0003,0.0001
1762329722.678,22.244246,-2.0303,0.0003,0.0001
1762329722.878,22.640869,-2.0120,0.0003,0.0001
1762329723.078,23.015479,-1.9937,0.0003,0.0001
1762329723.278,23.343468,-1.9784,0.0003,0.0001
1762329723.478,23.736153,-1.9611,0.0003,0.0001
1762329723.678,24.129747,-1.9435,0.0002,-0.0084
1762329723.878,24.491067,-1.9279,-0.0001,-0.0366
1762329724.078,24.887567,-1.9114,-0.0009,-0.0541
1762329724.278,25.315576,-1.8939,-0.0019,-0.0619
1762329724.478,25.690956,-1.8812,-0.0027,-0.0707
1762329724.678,26.140491,-1.8643,-0.0038,-0.0400
1762329724.878,26.625589,-1.8454,-0.0041,-0.0011
1762329725.078,27.047152,-1.8296,-0.0039,0.0310
1762329725.278,27.543024,-1.8120,-0.0032,0.0409
1762329725.478,28.046008,-1.7941,-0.0025,0.0405
1762329725.678,28.488765,-1.7787,-0.0019,0.0406
1762329725.878,29.017383,-1.7611,-0.0011,0.0420
1762329726.078,29.559592,-1.7462,-0.0005,0.0416
1762329726.278,30.038630,-1.7305,0.0001,0.0416
1762329726.478,30.651855,-1.7123,0.0009,0.0415
1762329726.678,31.265134,-1.6935,0.0015,0.0126
1762329726.878,31.782914,-1.6780,0.0014,-0.0219
1762329727.078,32.374949,-1.6615,0.0009,-0.0381
1762329727.278,33.010201,-1.6438,0.0002,-0.0461
1762329727.478,33.579927,-1.6284,-0.0007,-0.0640
1762329727.678,34.250643,-1.6107,-0.0018,-0.0426
1762329727.878,35.017872,-1.5945,-0.0017,0.0721
1762329728.078,35.859414,-1.5753,0.0012,0.2294
1762329728.278,36.676993,-1.5583,0.0064,0.3645
1762329728.478,37.557824,-1.5407,0.0141,0.4650
1762329728.678,38.314272,-1.5261,0.0224,0.5712
1762329728.878,38.304638,-1.5250,0.0231,0.5476
1762329729.078,38.212709,-1.5227,0.0243,0.3989
1762329729.278,38.562039,-1.5115,0.0275,0.1924
1762329729.478,39.214733,-1.4986,0.0289,0.0239
1762329729.678,39.938468,-1.4845,0.0279,-0.1660
1762329729.878,40.977033,-1.4664,0.0234,-0.3276
1762329730.078,42.094891,-1.4478,0.0157,-0.4630
1762329730.278,43.089834,-1.4328,0.0070,-0.5871
1762329730.478,44.053054,-1.4192,-0.0031,-0.6867
1762329730.678,45.092866,-1.4044,-0.0163,-0.7653
1762329730.878,46.098575,-1.3931,-0.0282,-0.8899
1762329731.078,47.195404,-1.3845,-0.0404,-1.0139
1762329731.278,48.183851,-1.3754,-0.0574,-1.1416
1762329731.478,48.919888,-1.3694,-0.0727,-1.2469
1762329731.678,49.500860,-1.3646,-0.0892,-1.3192
1762329731.878,50.016399,-1.3607,-0.1065,-1.3879
1762329732.078,50.473353,-1.3583,-0.1228,-1.4695
1762329732.278,50.761205,-1.3570,-0.1421,-1.5318
