x,y,intensity
-9.375,-9.875,-1
-9.125,-9.875,-1
-8.875,-9.875,-1
-8.625,-9.875,-1
-8.375,-9.875,-1
-8.125,-9.875,-1
-7.875,-9.875,-1
-7.625,-9.875,-1
-7.375,-9.875,-1
-7.125,-9.875,-1
-6.875,-9.875,-1
-6.625,-9.875,-1
-6.375,-9.875,-1
-6.125,-9.875,-1
-5.875,-9.875,-1
-5.625,-9.875,-1
-5.375,-9.875,-1
-5.125,-9.875,-1
-4.875,-9.875,-1
-4.625,-9.875,-1
-4.375,-9.875,-1
-4.125,-9.875,-1
-3.875,-9.875,-1
-3.625,-9.875,-1
-3.375,-9.875,-1
-3.125,-9.875,-1
-2.875,-9.875,-1
-2.625,-9.875,-1
-2.375,-9.875,-1
-2.125,-9.875,-1
-1.875,-9.875,-1
-1.625,-9.875,-1
-1.375,-9.875,-1
-1.125,-9.875,-1
-0.875,-9.875,-1
-0.625,-9.875,-1
-0.375,-9.875,-1
-0.125,-9.875,-1
0.125,-9.875,-1
0.375,-9.875,-1
0.625,-9.875,-1
0.875,-9.875,-1
1.125,-9.875,-1
1.375,-9.875,-1
1.625,-9.875,-1
1.875,-9.875,-1
2.125,-9.875,-1
2.375,-9.875,-1
2.625,-9.875,-1
2.875,-9.875,-1
3.125,-9.875,-1
3.375,-9.875,-1
3.625,-9.875,-1
3.875,-9.875,-1
4.125,-9.875,-1
4.375,-9.875,-1
4.625,-9.875,-1
4.875,-9.875,-1
5.125,-9.875,-1
5.375,-9.875,-1
5.625,-9.875,-1
5.875,-9.875,-1
6.125,-9.875,-1
6.375,-9.875,-1
6.625,-9.875,-1
6.875,-9.875,-1
7.125,-9.875,-1
7.375,-9.875,-1
7.625,-9.875,-1
7.875,-9.875,-1
8.125,-9.875,-1
8.375,-9.875,-1
8.625,-9.875,-1
8.875,-9.875,-1
9.125,-9.875,-1
9.375,-9.875,-1
-9.375,-9.625,-1
-9.125,-9.625,-1
-8.875,-9.625,-1
-8.625,-9.625,-1
-8.375,-9.625,-1
-8.125,-9.625,-1
-7.875,-9.625,-1
-7.625,-9.625,-1
-7.375,-9.625,-1
-7.125,-9.625,-1
-6.875,-9.625,-1
-6.625,-9.625,-1
-6.375,-9.625,-1
-6.125,-9.625,-1
-5.875,-9.625,-1
-5.625,-9.625,-1
-5.375,-9.625,-1
-5.125,-9.625,-1
-4.875,-9.625,-1
-4.625,-9.625,-1
-4.375,-9.625,-1
-4.125,-9.625,-1
-3.875,-9.625,-1
-3.625,-9.625,-1
-3.375,-9.625,-1
-3.125,-9.625,-1
-2.875,-9.625,-1
-2.625,-9.625,-1
-2.375,-9.625,-1
-2.125,-9.625,-1
-1.875,-9.625,-1
-1.625,-9.625,-1
-1.375,-9.625,-1
-1.125,-9.625,-1
-0.875,-9.625,-1
-0.625,-9.625,-1
-0.375,-9.625,-1
-0.125,-9.625,-1
0.125,-9.625,-1
0.375,-9.625,-1
0.625,-9.625,-1
0.875,-9.625,-1
1.125,-9.625,-1
1.375,-9.625,-1
1.625,-9.625,-1
1.875,-9.625,-1
2.125,-9.625,-1
2.375,-9.625,-1
2.625,-9.625,-1
2.875,-9.625,-1
3.125,-9.625,-1
3.375,-9.625,-1
3.625,-9.625,-1
3.875,-9.625,-1
4.125,-9.625,-1
4.375,-9.625,-1
4.625,-9.625,-1
4.875,-9.625,-1
5.125,-9.625,-1
5.375,-9.625,-1
5.625,-9.625,-1
5.875,-9.625,-1
6.125,-9.625,-1
6.375,-9.625,-1
6.625,-9.625,-1
6.875,-9.625,-1
7.125,-9.625,-1
7.375,-9.625,-1
7.625,-9.625,-1
7.875,-9.625,-1
8.125,-9.625,-1
8.375,-9.625,-1
8.625,-9.625,-1
8.875,-9.625,-1
9.125,-9.625,-1
9.375,-9.625,-1
-9.375,-9.375,-1
-9.125,-9.375,-1
-8.875,-9.375,1.35181
-8.625,-9.375,1.34899
-8.375,-9.375,1.36978
-8.125,-9.375,1.39168
-7.875,-9.375,1.41498
-7.625,-9.375,1.45039
-7.375,-9.375,1.46903
-7.125,-9.375,-1
-6.875,-9.375,-1
-6.625,-9.375,1.58668
-6.375,-9.375,1.59954
-6.125,-9.375,-1
-5.875,-9.375,-1
-5.625,-9.375,-1
-5.375,-9.375,-1
-5.125,-9.375,-1
-4.875,-9.375,-1
-4.625,-9.375,1.92576
-4.375,-9.375,1.96164
-4.125,-9.375,2.04535
-3.875,-9.375,2.16168
-3.625,-9.375,2.29485
-3.375,-9.375,2.35902
-3.125,-9.375,2.56527
-2.875,-9.375,2.72136
-2.625,-9.375,3.01123
-2.375,-9.375,3.36746
-2.125,-9.375,3.82059
-1.875,-9.375,4.45503
-1.625,-9.375,5.1132
-1.375,-9.375,5.68716
-1.125,-9.375,6.55846
-0.875,-9.375,9.02717
-0.625,-9.375,10.1492
-0.375,-9.375,11.9622
-0.125,-9.375,13.6226
0.125,-9.375,14.5372
0.375,-9.375,15.6624
0.625,-9.375,16.0146
0.875,-9.375,17.5979
1.125,-9.375,19.1369
1.375,-9.375,36.7109
1.625,-9.375,38.2947
1.875,-9.375,39.6343
2.125,-9.375,40.6451
2.375,-9.375,41.3222
2.625,-9.375,41.5605
2.875,-9.375,41.3988
